GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Cinestar,com.cinestar.application.service,FuncionService,0,119,0,12,0,27,0,11,0,5
Cinestar,com.cinestar.application.service,PagoService,9,465,4,20,2,82,4,20,0,12
Cinestar,com.cinestar.application.service,SalaService,0,3,0,0,0,1,0,1,0,1
Cinestar,com.cinestar.application.service,ComentarioService,0,163,2,10,0,34,2,12,0,8
Cinestar,com.cinestar.application.service,AsientoService,0,15,0,0,0,3,0,3,0,3
Cinestar,com.cinestar.application.service,PeliculaService,0,63,2,8,0,13,2,8,0,5
Cinestar,com.cinestar.application.service,SedeService,0,103,4,16,0,19,4,11,0,5
Cinestar,com.cinestar.application.service,UsuarioService,14,60,1,1,1,16,1,5,0,5
Cinestar,com.cinestar.application.entity,Usuario,0,45,0,0,0,19,0,13,0,13
Cinestar,com.cinestar.application.entity,ComentarioSede,0,53,0,0,0,22,0,11,0,11
Cinestar,com.cinestar.application.entity,Sala,0,31,0,0,0,13,0,9,0,9
Cinestar,com.cinestar.application.entity,Comentario,0,31,0,0,0,13,0,9,0,9
Cinestar,com.cinestar.application.entity,Pago,0,52,0,0,0,22,0,15,0,15
Cinestar,com.cinestar.application.entity,Asiento,0,38,0,0,0,16,0,11,0,11
Cinestar,com.cinestar.application.entity,Funcion,0,59,0,0,0,25,0,17,0,17
Cinestar,com.cinestar.application.entity,Pelicula,0,45,0,0,0,19,0,13,0,13
Cinestar,com.cinestar.application.entity,Sede,0,38,0,0,0,16,0,11,0,11
Cinestar,com.cinestar.application.controller,VisaPagoStrategy,0,50,0,8,0,7,0,6,0,2
Cinestar,com.cinestar.application.controller,FuncionController,26,3,0,0,6,1,3,1,3,1
Cinestar,com.cinestar.application.controller,UsuarioController,12,3,0,0,3,1,2,1,2,1
Cinestar,com.cinestar.application.controller,AsientoController,0,3,0,0,0,1,0,1,0,1
Cinestar,com.cinestar.application.controller,SalaController,0,3,0,0,0,1,0,1,0,1
Cinestar,com.cinestar.application.controller,SedeController,45,3,0,0,8,1,3,1,3,1
Cinestar,com.cinestar.application.controller,MastercardPagoStrategy,0,53,1,9,0,8,1,6,0,2
Cinestar,com.cinestar.application.controller,PagoController,143,8,0,0,23,2,7,1,7,1
Cinestar,com.cinestar.application.controller,PerfilController,21,3,0,0,5,1,1,1,1,1
Cinestar,com.cinestar.application.controller,PeliculaController,39,3,0,0,8,1,3,1,3,1
Cinestar,com.cinestar.application.controller,ComentarioController,42,3,0,0,8,1,2,1,2,1
Cinestar,com.cinestar.application.security,WebSecurityConfiguration,0,144,0,0,0,16,0,4,0,4
Cinestar,com.cinestar.application,CinestarApplication,5,19,0,0,2,5,1,2,1,2
